title,industry,era,genre,star,tier,moment,notes
Jab Harry Met Sejal,BW,2010s,romance,SRK,3,FLEX,flop but loyal fans
Imtiaz Ali Love Aaj Kal,BW,2000s,romance,Saif,2,ARGUMENT,meta love story
Tamasha,BW,2010s,drama,Ranbir,2,FLEX,"duplicate — remove"
Highway,BW,2010s,drama,Alia,2,FLEX,Stockholm road trip
Udta Punjab,BW,2010s,drama,Shahid,2,GENERATIONAL_BRIDGE,drugs Punjab
Bangaru Kodipetta,TW,2010s,romance,Sumanth,3,FLEX,Swati rom-com indie
Ganesh Just Ganesh,TW,2000s,drama,Ram,3,FLEX,indie
Kadapa Reddamma,TW,90s,drama,Sujatha,3,FLEX,indie
Nandanavanam 120 Kms,TW,2010s,drama,Manchu-Manoj,3,FLEX,indie
Nani,TW,2000s,comedy,Mahesh,3,FLEX,magical-wish indie
Raahu,TW,2010s,thriller,Abhilash,3,FLEX,indie Kriti Garg
Seethamma Andalu Ramayya Sitralu,TW,2010s,drama,Raj-Tarun,3,FLEX,indie drama
Sehari,TW,2020s,thriller,Harsh-Kanumilli,3,FLEX,indie thriller
Siddharth Roy,TW,2020s,romance,Deepak-Saroj,3,FLEX,indie romance 2024
Ye Mantram Vesave,TW,2010s,romance,Vijay-Deverakonda,3,FLEX,vamp-magic indie
30 Rojullo Preminchadam Ela,TW,2020s,romance,Pradeep-Machiraju,3,FLEX,rom-com OTT
Aavaram,TW,2000s,thriller,Ram-Gopal-Varma,3,FLEX,Urmila RGV
Aawara,TW,2010s,action,NTR-Jr,3,FLEX,Puri Jagannadh note
Allari,TW,2000s,romance,Allari-Naresh,3,FLEX,Ravi Babu debut
Allari Ramudu,TW,2000s,comedy,Mahesh,3,FLEX,B Gopal family film
Alludu Seenu,TW,2010s,action,Bellamkonda-Sreenivas,3,FLEX,V V Vinayak
Anaganaga O Dheerudu,TW,2010s,fantasy,Siddharth,3,FLEX,Disney Telugu
Ardha Shathabdam,TW,2020s,drama,Karthik-Rathnam,3,FLEX,Yadhu Vamsi caste love
Ayyare,TW,2010s,comedy,Shafi,3,FLEX,Narasimha cat-burglar
Bala Chandrudu,TW,90s,action,Mahesh,3,FLEX,child-actor era
Banam,TW,2010s,action,Nara-Rohit,3,FLEX,Chaithanya Dantuluri
Bedurulanka 2012,TW,2020s,comedy,Kartikeya,3,FLEX,Y2K small-town 2023
Bhaje Vaayu Vegam,TW,2020s,action,Kartikeya,3,FLEX,Prashanth Reddy
Case of Kondana,TW,2020s,thriller,Varun-Sandesh,3,FLEX,OTT
Check,TW,2020s,drama,Nithiin,3,FLEX,Chandra Sekhar Yeleti chess
Chenetha Banda,TW,90s,drama,Rajendra-Prasad,3,FLEX,Dasari
Courier Boy Kalyan,TW,2010s,romance,Nitin,3,FLEX,Premsai rom-com
Eeshwar,TW,2000s,action,Prabhas,3,FLEX,Puri Jagannadh
Erra Mallelu,TW,80s,drama,Murali-Mohan,3,FLEX,K Balachander-ish
Family Star,TW,2020s,drama,Vijay-Deverakonda,3,FLEX,Parasuram family reset
Gouravam,TW,2010s,drama,Allu-Sirish,3,FLEX,Radha Mohan bilingual
Johnny,TW,2000s,action,Pawan,3,FLEX,Pawan directorial
Kaadhal Solla Vandhen,TW,2010s,romance,Yuvan-Shankar,3,FLEX,Tamil-Telugu note
Kavacham,TW,2010s,action,Bellamkonda-Sreenivas,3,FLEX,Sreenivas Raga
Koduku Diddina Kapuram,TW,80s,drama,Mahesh,3,FLEX,child-actor debut
Kondaveeti Simhasanam,TW,80s,action,NTR-Sr,3,FLEX,NTR Sr faction
Krishna Vrinda Vihari,TW,2020s,romance,Naga-Shaurya,3,FLEX,Anish Krishna rom-com
Love Mocktail,TW,2020s,romance,Darling-Krishna,3,FLEX,Kannada-Telugu crossover
Manchivadu,TW,90s,drama,Mahesh,3,FLEX,child-star era
Mayabazar 2016,TW,2010s,action,Raj-Tharun,3,FLEX,demonetisation caper
Mr Majnu,TW,2010s,romance,Akhil,3,FLEX,Virupaksham director rom-com
Mudra,TW,2010s,action,Nikhil,3,FLEX,Anand Ranga mass
NOTA,TW,2010s,drama,Vijay-Deverakonda,3,FLEX,Tamil-Telugu political
Nara Rohit Asura,TW,2010s,thriller,Nara-Rohit,3,FLEX,Krishna Vijay OTT
Nayudu Gari Kutumbam,TW,90s,drama,Krishna,3,FLEX,Krishna faction
Nela Ticket,TW,2010s,action,Ravi-Teja,3,FLEX,Kalyan Krishna mass
Nene Varasudu,TW,90s,drama,ANR,3,FLEX,dubbed
O2 Life Is Beautiful,TW,2010s,drama,Nani,3,FLEX,Shekhar Kammula
Oh Manapenne,TW,2020s,romance,Harish-Kalyan,3,FLEX,Tamil-Telugu dub
Okkade Kanipinchadu,TW,2000s,drama,Sumanth,3,FLEX,Krishna Vamsi
Oxygen,TW,2010s,action,Gopichand,3,FLEX,AM Jyothi Krishna
Paagal,TW,2020s,romance,Vishwak-Sen,3,FLEX,five-heroine rom-com
Pagal Premikudu,TW,90s,romance,Rajendra-Prasad,3,FLEX,comedy-romance
Pakka Commercial,TW,2020s,action,Gopichand,3,FLEX,Maruthi satire
Panjaa,TW,2010s,action,Pawan,3,FLEX,Vishnuvardhan 2011
Pantham,TW,2010s,action,Gopichand,3,FLEX,K Chakravarthy Reddy
Pelli,TW,90s,romance,Vadde-Naveen,3,FLEX,Ram Gopal Varma
Pelli Pustakam,TW,90s,drama,Rajendra-Prasad,3,FLEX,EVV Satyanarayana
Pellikoduku,TW,90s,drama,Suman,3,FLEX,Muthyala Subbaiah
Power Star,TW,2020s,drama,Ram-Gopal-Varma,3,FLEX,Pawan Kalyan biopic rage
Premalekhalu,TW,90s,drama,Sudhakar,3,FLEX,music hit
Raatri,TW,90s,horror,Revathi,3,FLEX,RGV
Radhe Shyam,TW,2020s,romance,Prabhas,3,FLEX,Radha Krishna Kumar period
Rakshadhikari Baiju,TW,2010s,drama,Biju-Menon,3,FLEX,Malayalam-Telugu
Ramarao on Duty,TW,2020s,thriller,Ravi-Teja,3,FLEX,MRO procedural
Rickshawkaran,TW,70s,action,MGR,3,FLEX,dubbed MGR note
Roberrt,TW,2020s,action,Darshan,3,FLEX,Kannada-Telugu
Saamy Square,TW,2010s,action,Chiyaan-Vikram,3,FLEX,Tamil-Telugu note
Samaikyamithra,TW,2010s,drama,Rana-Daggubati,3,FLEX,political OTT
Sarkar (2002),TW,2000s,action,Krishna,3,FLEX,senior Ghattamaneni
Sarvam Thaala Mayam,TW,2010s,drama,GV-Prakash,3,FLEX,Tamil-Telugu
Satya Harishchandra,TW,2010s,drama,Sharwanand,3,FLEX,Kishore Kumar Pardasany
Savithri,TW,2010s,romance,Nara-Rohit,3,FLEX,Pawan Sadineni
Shavukaru,TW,50s,drama,NTR-Sr,3,FLEX,LV Prasad
Sobha,TW,90s,drama,Arjun,3,FLEX,K Viswanath
Soukhyam,TW,2010s,romance,Gopichand,3,FLEX,AS Ravikumar Chowdary
Speedunnodu,TW,2010s,romance,Bellamkonda-Sreenivas,3,FLEX,Bhimaneni rom-com
Sreshta,TW,80s,drama,Mahesh,3,FLEX,child-star debut
Srikanth (2024),TW,2020s,drama,Rajkummar,3,FLEX,Hindi-Telugu dub note
Subha Muhurtham,TW,2000s,drama,Sriram,3,FLEX,Nandyala
Subha Sankalpam,TW,90s,drama,Kamal-Haasan,3,FLEX,K Viswanath
Super Woman,TW,2010s,drama,Anushka,3,FLEX,loose compilation title
Takkari Donga,TW,2000s,action,Mahesh,3,FLEX,Telugu Western
Thank You Brother,TW,2020s,thriller,Anasuya,3,FLEX,elevator birth OTT
Urvashivo Rakshasivo,TW,2020s,romance,Allu-Sirish,3,FLEX,rom-com 2022
Vajra Kavachadhara Govinda,TW,2010s,comedy,Saptagiri,3,FLEX,VV Vinayak spoof
Veede,TW,2000s,action,Ravi-Teja,3,FLEX,Nagendra Prasad
Yemaali,TW,2010s,drama,Sam-Jones,3,FLEX,Tamil-Telugu note
Yuvarathnaa,TW,2020s,drama,Puneeth-Rajkumar,3,FLEX,Kannada-Telugu
Adipurush,TW,2020s,action,Prabhas,3,ARGUMENT,Om Raut Ramayana flop
Agnyaathavaasi,TW,2010s,action,Pawan,3,ARGUMENT,Largo Winch flop
Liger,TW,2020s,action,Vijay-Deverakonda,3,ARGUMENT,pan-India MMA disaster
Adhugo,TW,2010s,comedy,Ravi-Babu,2,ARGUMENT,pig-chase indie
Anaganaga Oka Roju,TW,90s,drama,Venkat,2,I_KNEW_IT,RGV indie
Arjuna Phalguna,TW,2020s,drama,Sree-Vishnu,2,I_KNEW_IT,Teja Marni indie
Samajavaragamana,TW,2020s,comedy,Sree-Vishnu,2,FLEX,indie dramedy 2023
18 Pages,TW,2020s,romance,Nikhil,2,FLEX,Palnati Surya diary romance
777 Charlie,TW,2020s,drama,Rakshit-Shetty,2,ARGUMENT,Kannada-Telugu dog
ABCD American Born Confused Desi,TW,2010s,comedy,Allu-Sirish,2,I_KNEW_IT,Madhura Sreedhar NRI
Adavi Ramudu (2005),TW,2000s,action,Prabhas,2,I_KNEW_IT,VN Aditya
Andhrudu,TW,2000s,action,Gopichand,2,I_KNEW_IT,Paruchuri brothers
Anjaneyulu,TW,2000s,action,Manchu-Vishnu,2,I_KNEW_IT,Parasuram
Aranya,TW,2020s,drama,Rana-Daggubati,2,I_KNEW_IT,Prabu Solomon elephant
Arjun,TW,2000s,action,Mahesh,2,FLEX,Gunasekhar mythic cop
Arjun Suravaram,TW,2010s,thriller,Nikhil,2,ARGUMENT,TN Santosh fake-docs
Arrambam,TW,2010s,thriller,Ajith,2,FLEX,Tamil-Telugu note
Ashta Chamma,TW,2000s,comedy,Srinivas-Avasarala,2,ARGUMENT,Wilde Earnest remake Telugu
Aswathama,TW,2020s,thriller,Naga-Shaurya,2,FLEX,sister-protect OTT
Balu ABCDEFG,TW,2000s,comedy,Pawan,2,ARGUMENT,corporate do-gooder
Bejawada,TW,2010s,action,Naga-Chaitanya,2,I_KNEW_IT,Vivek Krishna faction
Bengal Tiger,TW,2010s,action,Ravi-Teja,2,FLEX,Sampath Nandi mass
Bobby,TW,2000s,action,Mahesh,2,ARGUMENT,Sobhan mass
C U Soon,TW,2020s,thriller,Fahadh,2,ARGUMENT,Malayalam-Telugu dub
Captain Miller,TW,2020s,action,Dhanush,2,ARGUMENT,pan-Indian period
Cinema Choopistha Mava,TW,2010s,romance,Raj-Tarun,2,I_KNEW_IT,Rakshit Varma rom-com
Daruvu,TW,2010s,action,Ravi-Teja,2,I_KNEW_IT,Ghibran comedy
Das Ka Dhamki,TW,2020s,action,Vishwak-Sen,2,I_KNEW_IT,double role 2023
Denikaina Ready,TW,2010s,action,Manchu-Vishnu,2,ARGUMENT,G Nageswara Reddy
Devadas (2015),TW,2010s,comedy,Nagarjuna,2,FLEX,duplicate context (buddy-film)
Dohchay,TW,2010s,action,Naga-Chaitanya,2,I_KNEW_IT,Sudheer Varma thief
Dongala Mutha,TW,2010s,comedy,Ravi-Teja,2,FLEX,Vamsi heist
Doosukeltha,TW,2010s,action,Manchu-Vishnu,2,FLEX,Veeru Potla mass
Dorasaani,TW,2010s,romance,Anand-Deverakonda,2,FLEX,KV Satish period
Eagle,TW,2020s,thriller,Ravi-Teja,2,I_KNEW_IT,Karthik Gattamaneni mass
Gaami,TW,2020s,drama,Vishwak-Sen,2,FLEX,Himalayan sadhu 2024
Gaganam,TW,2010s,thriller,Nagarjuna,2,I_KNEW_IT,Payak Production hijack
Garuda Vega,TW,2010s,thriller,Rajashekar,2,ARGUMENT,Praveen Sattaru NIA
Gentleman,TW,2010s,thriller,Nani,2,I_KNEW_IT,double-life murder mystery
Goutham Nanda,TW,2010s,action,Gopichand,2,FLEX,Sampath Nandi double
Govinda Govinda,TW,90s,drama,Nagarjuna,2,I_KNEW_IT,Ram Gopal Varma
Gunde Jaari Gallanthayyinde,TW,2010s,romance,Nithiin,2,I_KNEW_IT,Vijay Kumar Konda rom-com
Hari Hara Veera Mallu,TW,2020s,action,Pawan,2,I_KNEW_IT,perpetual delay meme
Hello,TW,2010s,romance,Akhil,2,I_KNEW_IT,Vikram Kumar romance
Homam,TW,2000s,thriller,Jagapathi-Babu,2,I_KNEW_IT,JD Chakravarthy
Hyper,TW,2010s,action,Ram-Pothineni,2,I_KNEW_IT,Santosh Srinivas
James,TW,2020s,action,Puneeth-Rajkumar,2,I_KNEW_IT,Kannada-Telugu
Jil,TW,2010s,action,Gopichand,2,ARGUMENT,Radha Krishna action
Kaithi,TW,2010s,action,Karthi,2,ARGUMENT,Tamil-Telugu
Kalki,TW,2010s,action,Rajashekar,2,ARGUMENT,Prasanth Varma cop-period
Kirik Party,TW,2010s,comedy,Nikhil,2,ARGUMENT,Kannada remake confused
Kotha Janta,TW,2010s,romance,Allu-Sirish,2,I_KNEW_IT,Maruthi rom-com
Krishnam Vande Jagadgurum,TW,2010s,action,Rana-Daggubati,2,I_KNEW_IT,Krish ensemble
LIE,TW,2010s,thriller,Nithiin,2,ARGUMENT,Hanu Raghavapudi spy
Lakshmi,TW,2000s,drama,Venkatesh,2,I_KNEW_IT,VV Vinayak dual
Leo,TW,2020s,action,Vijay,2,I_KNEW_IT,Tamil-Telugu
Loukyam,TW,2010s,drama,Gopichand,2,I_KNEW_IT,Sreenu Vaitla family
Maha Samudram,TW,2020s,drama,Sharwanand,2,I_KNEW_IT,Ajay Bhupathi friendship
Mahanubhavudu,TW,2010s,comedy,Sharwanand,2,ARGUMENT,Maruthi OCD-hero
Master (2022),TW,2020s,action,Vijay,2,FLEX,Tamil-Telugu dubbed big
Michael Madana Kama Raju,TW,90s,comedy,Kamal-Haasan,2,I_KNEW_IT,Tamil original note
Miss Shetty Mr Polishetty,TW,2020s,comedy,Naveen-Polishetty,2,I_KNEW_IT,mid-life rom-com 2023
Mister,TW,2010s,romance,Varun-Tej,2,ARGUMENT,Sreenu Vaitla confused rom-com
Mogudu,TW,2010s,romance,Gopichand,2,ARGUMENT,Krishna Vamsi
Most Eligible Bachelor,TW,2020s,romance,Akhil,2,ARGUMENT,Akhil-Pooja rom-com
Naga Chaitanya Savyasachi,TW,2010s,action,Naga-Chaitanya,2,I_KNEW_IT,Chandoo Mondeti mysterious arm
Namo Venkatesa,TW,2010s,comedy,Venkatesh,2,I_KNEW_IT,Srinu Vaitla
Nijam,TW,2000s,action,Mahesh,2,ARGUMENT,Teja mass
Nippu,TW,2010s,action,Ravi-Teja,2,I_KNEW_IT,Gunashekhar cop
Nishabdham,TW,2020s,thriller,Anushka,2,FLEX,Hemant Madhukar Amazon
OG,TW,2020s,action,Pawan,2,ARGUMENT,gangster saga 2025
Oka Laila Kosam,TW,2010s,romance,Naga-Chaitanya,2,I_KNEW_IT,Vijay Kumar Konda
Oke Oka Jeevitham,TW,2020s,sci-fi,Sharwanand,2,I_KNEW_IT,Shree Karthick time travel
Om Namo Venkatesaya,TW,2010s,drama,Nagarjuna,2,I_KNEW_IT,Raghavendra Rao devotional
Ooru Peru Bhairavakona,TW,2020s,action,Sundeep-Kishan,2,FLEX,fantasy heist 2024
Orey Bujjiga,TW,2020s,romance,Raj-Tarun,2,I_KNEW_IT,Vijay Kumar Konda OTT
PSV Garuda Vega,TW,2010s,thriller,Rajashekar,2,FLEX,variant title
Panchakshari,TW,2000s,fantasy,Anushka,2,I_KNEW_IT,Kodi Ramakrishna
Pandaga Chesko,TW,2010s,comedy,Ram-Pothineni,2,I_KNEW_IT,Gopichand Malineni comedy
Pelli SandaD,TW,2020s,romance,Roshan,2,ARGUMENT,remake of Pelli SandaD 1996
Petta,TW,2010s,action,Rajinikanth,2,I_KNEW_IT,Tamil-Telugu
Pilla Zamindar,TW,2010s,comedy,Nani,2,FLEX,college-to-village heir
Ponniyin Selvan I,TW,2020s,drama,Mani-Ratnam,2,ARGUMENT,Tamil-Telugu
Ponniyin Selvan II,TW,2020s,drama,Mani-Ratnam,2,FLEX,Tamil-Telugu
Prasthanam,TW,2010s,drama,Sharwanand,2,I_KNEW_IT,Deva Katta political
Priyuralu Pilichindi,TW,90s,romance,Ajith,2,I_KNEW_IT,Mani Ratnam dubbed
Pushpaka Vimanam (2021),TW,2020s,drama,Anand-Deverakonda,2,I_KNEW_IT,Indraganti family drama
Rakhi,TW,2000s,action,NTR-Jr,2,FLEX,Krishna Vamsi mass
Rakshakudu,TW,90s,action,Nagarjuna,2,I_KNEW_IT,Mani Ratnam dub
Ramayya Vasthavayya (2015),TW,2010s,action,NTR-Jr,2,FLEX,Harish Shankar faction
Ranarangam,TW,2010s,action,Sharwanand,2,I_KNEW_IT,Sudheer Varma bootlegger
Rebel,TW,2010s,action,Prabhas,2,I_KNEW_IT,Raghava Lawrence mass
Rowdy,TW,2010s,action,Manchu-Vishnu,2,FLEX,Linguswamy
Rowdy Rajamma,TW,90s,comedy,Vijayashanti,2,I_KNEW_IT,female-lead action
Saahasam,TW,2010s,action,Gopichand,2,I_KNEW_IT,Chandra Sekhar Yeleti
Sahasam Swasaga Sagipo,TW,2010s,romance,Naga-Chaitanya,2,I_KNEW_IT,Gautham Menon
Saindhav,TW,2020s,action,Venkatesh,2,I_KNEW_IT,Sailesh Kolanu mass
Samba,TW,2000s,action,NTR-Jr,2,ARGUMENT,VN Aditya mass
Sankranthi,TW,2000s,drama,Nagarjuna,2,I_KNEW_IT,K Raghavendra family
Sapta Sagaralu Dhaati,TW,2020s,romance,Rakshit-Shetty,2,I_KNEW_IT,Kannada-Telugu bilingual
Sasirekha Parinayam,TW,2000s,drama,Tarun,2,FLEX,Krish period romance
Seema Tapakai,TW,2010s,action,Allari-Naresh,2,ARGUMENT,G Nageswara Reddy
Seetimaarr,TW,2020s,sports,Gopichand,2,FLEX,Sampath Nandi kabaddi
Srinivasa Kalyanam,TW,2010s,drama,Nithiin,2,I_KNEW_IT,Satish Vegesna family
Srirastu Subhamastu,TW,2010s,romance,Allu-Sirish,2,ARGUMENT,Parasuram rom-com
Surya vs Surya,TW,2010s,drama,Nikhil,2,ARGUMENT,Karthik Ghattamaneni sun-allergy
Tadakha,TW,2010s,action,Naga-Chaitanya,2,FLEX,Kishore Kumar Pardasany
Theri,TW,2010s,action,Vijay,2,FLEX,Tamil-Telugu
